"","Site","Bag_Col","Bag_no","Month.x","Mort_count.x","Month_no","Month.y","Mort_count.y","Year","Month_year"
"1","Chelsea","Blue","27","May",0,"5",NA,0,NA,NA
"2","Chelsea","Blue","29","May",0,"5",NA,0,NA,NA
"3","Chelsea","Blue","37","May",0,"5","May",1,2024,"May_2024"
"4","Chelsea","Blue","46","May",0,"5",NA,0,NA,NA
"5","Chelsea","Blue","48","May",0,"5","May",1,2024,"May_2024"
"6","Chelsea","Blue","49","May",0,"5",NA,0,NA,NA
"7","Chelsea","Blue","65","May",0,"5",NA,0,NA,NA
"8","Chelsea","Blue","74","May",0,"5",NA,0,NA,NA
"9","Chelsea","Blue","55",NA,NA,NA,"May",28,2024,"May_2024"
"10","Chelsea","Green","12","May",0,"5","May",5,2024,"May_2024"
"11","Chelsea","Green","59","May",0,"5",NA,0,NA,NA
"12","Chelsea","Green","70","May",0,"5","May",9,2024,"May_2024"
"13","Chelsea","Green","71","May",0,"5","May",2,2024,"May_2024"
"14","Chelsea","Green","72","May",0,"5","May",4,2024,"May_2024"
"15","Chelsea","Green","74",NA,NA,NA,"May",5,2024,"May_2024"
"16","Chelsea","Green","85","May",0,"5","May",1,2024,"May_2024"
"17","Chelsea","Green","86","May",0,"5",NA,0,NA,NA
"18","Chelsea","Green","91","May",0,"5",NA,0,NA,NA
"19","Chelsea","Red","17","May",0,"5","May",4,2024,"May_2024"
"20","Chelsea","Red","22","May",0,"5","May",3,2024,"May_2024"
"21","Chelsea","Red","26","May",0,"5",NA,0,NA,NA
"22","Chelsea","Red","30","May",0,"5",NA,0,NA,NA
"23","Chelsea","Red","35","May",0,"5","May",1,2024,"May_2024"
"24","Chelsea","Red","39","May",0,"5","May",3,2024,"May_2024"
"25","Chelsea","Red","48","May",0,"5","May",6,2024,"May_2024"
"26","Chelsea","Red","50","May",0,"5",NA,0,NA,NA
"27","Hood Head","Blue","13",NA,NA,NA,"May",1,2024,"May_2024"
"28","Hood Head","Blue","31","May",0,"5",NA,0,NA,NA
"29","Hood Head","Blue","34","May",0,"5","May",1,2024,"May_2024"
"30","Hood Head","Blue","43","May",0,"5",NA,0,NA,NA
"31","Hood Head","Blue","44","May",0,"5","May",1,2024,"May_2024"
"32","Hood Head","Blue","54","May",0,"5",NA,0,NA,NA
"33","Hood Head","Blue","61","May",0,"5",NA,0,NA,NA
"34","Hood Head","Blue","70","May",0,"5",NA,0,NA,NA
"35","Hood Head","Blue","73","May",0,"5","May",1,2024,"May_2024"
"36","Hood Head","Green","13","May",0,"5",NA,0,NA,NA
"37","Hood Head","Green","14","May",0,"5",NA,0,NA,NA
"38","Hood Head","Green","73","May",0,"5","May",3,2024,"May_2024"
"39","Hood Head","Green","75","May",0,"5",NA,0,NA,NA
"40","Hood Head","Green","77","May",0,"5","May",4,2024,"May_2024"
"41","Hood Head","Green","88","May",0,"5",NA,0,NA,NA
"42","Hood Head","Green","93","May",0,"5",NA,0,NA,NA
"43","Hood Head","Green","98","May",0,"5",NA,0,NA,NA
"44","Hood Head","Red","2","May",0,"5",NA,0,NA,NA
"45","Hood Head","Red","20","May",0,"5",NA,0,NA,NA
"46","Hood Head","Red","23","May",0,"5","May",1,2024,"May_2024"
"47","Hood Head","Red","24","May",0,"5",NA,0,NA,NA
"48","Hood Head","Red","27","May",0,"5",NA,0,NA,NA
"49","Hood Head","Red","28","May",0,"5",NA,0,NA,NA
"50","Hood Head","Red","33","May",0,"5",NA,0,NA,NA
"51","Hood Head","Red","36","May",0,"5",NA,0,NA,NA
"52","Manchester","Blue","28","May",0,"5","May",1,2024,"May_2024"
"53","Manchester","Blue","47","May",0,"5","May",1,2024,"May_2024"
"54","Manchester","Blue","54","May",0,"5",NA,0,NA,NA
"55","Manchester","Blue","58","May",0,"5","May",1,2024,"May_2024"
"56","Manchester","Blue","63","May",0,"5",NA,0,NA,NA
